15.5000	0.732
15.5250	0.730
15.5500	0.729
15.5750	0.727
15.6000	0.726
15.6250	0.724
15.6500	0.723
15.6750	0.721
15.7000	0.719
15.7250	0.718
15.7500	0.715
15.7750	0.713
15.8000	0.713
15.8250	0.712
15.8500	0.710
15.8750	0.708
15.9000	0.707
15.9250	0.707
15.9500	0.705
15.9750	0.705
16.0000	0.704
16.0250	0.704
16.0500	0.702
16.0750	0.702
16.1000	0.702
16.1250	0.702
16.1500	0.702
16.1750	0.702
16.2000	0.702
16.2250	0.702
16.2500	0.704
16.2750	0.704
16.3000	0.704
16.3250	0.705
16.3500	0.705
16.3750	0.705
16.4000	0.707
16.4250	0.707
16.4500	0.707
16.4750	0.707
16.5000	0.708
16.5250	0.708
16.5500	0.708
16.5750	0.710
16.6000	0.710
16.6250	0.710
16.6500	0.710
16.6750	0.710
16.7000	0.710
16.7250	0.710
16.7500	0.710
16.7750	0.710
16.8000	0.710
16.8250	0.710
16.8500	0.710
16.8750	0.710
16.9000	0.710
16.9250	0.710
16.9500	0.710
16.9750	0.710
17.0000	0.710
17.0250	0.710
17.0500	0.710
17.0750	0.710
17.1000	0.710
17.1250	0.710
17.1500	0.710
17.1750	0.710
17.2000	0.710
17.2250	0.710
17.2500	0.710
17.2750	0.710
17.3000	0.710
17.3250	0.710
17.3500	0.710
17.3750	0.710
17.4000	0.710
17.4250	0.710
17.4500	0.710
17.4750	0.710
17.5000	0.710
17.5250	0.710
17.5500	0.710
17.5750	0.710
17.6000	0.710
17.6250	0.710
17.6500	0.710
17.6750	0.710
17.7000	0.710
17.7250	0.710
17.7500	0.710
17.7750	0.710
17.8000	0.710
17.8250	0.710
17.8500	0.710
17.8750	0.710
17.9000	0.710
17.9250	0.710
17.9500	0.710
17.9750	0.710
18.0000	0.710
18.0250	0.710
18.0500	0.710
18.0750	0.710
18.1000	0.710
18.1250	0.710
18.1500	0.710
18.1750	0.710
18.2000	0.710
18.2250	0.710
18.2500	0.710
